,id,name_x,Марка :,Применение:,Дополнение:,Cu,Al,C,Ni,Si,Cr,Mn,Zn,Ti,Fe,Заменитель:,Mo,Mg,V,Классификация :,type_x,Pb,Примесей,-,W,Sn,Co,Ag,Nb,P,Zr,Sb,S,Cd,B,Pt,Ni+Co,Au,Pd,Bi,N,As,O,Ca,Be,Rh,sв,d5,Ir,Ce,Te,sT,Tl,y,Se,H,Na,Ta,Hg,In,Ru,Ga,KCU,Ba,Nd,Li,Al+Mg,Cl,La,РЗМ,Sr,Re,Cu+P,Sc,Hf,F
10,673,40НКМ,40НКМ ( другое обозначение 40НКМП ),"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов; Сплав обладает анизотропией магнитных свойств, низкой остаточной магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей",С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.,,,до 0.03,39.3 - 40.7,до 0.3,,0.3 - 0.6,,,28.13 - 32.1,,3.8 - 4.2,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,24.5 - 26,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,674,45Н,45Н,"Для сердечников междуламповых и малогабаритных силовых трансформаторов, дросселей, реле и деталей магнитных цепей, работающих при повышенных индукциях без подмагничивания или с небольшим подмагничиванием;",Сплав обладает повышенной магнитной проницаемостью и повышенной индукцией технического насыщения,до 0.2,,до 0.03,45 - 46.5,0.15 - 0.3,,0.6 - 1.1,,,51.83 - 54.25,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,675,47НК,47НК,"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов;","Сплав обладает анизотропией магнитных свойств, низкой остаточной магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей",,,до 0.03,46 - 48,0.15 - 0.3,,0.3 - 0.6,,,27.53 - 31.05,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,22.5 - 23.5,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,689,49К2Ф,49К2Ф,Для пакетов ультразвуковых преобразователей телефонных мембран;,"Сплав с высоким магнитным насыщением, высокой и постоянной проницаемостью, высокой магнитострикцией и высокой точкой Кюри.",,,до 0.05,до 0.5,до 0.3,,до 0.3,,,46.71 - 50.3,,,,1.7 - 2.1,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,48 - 50,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,691,49К2ФА,49К2ФА,"Для трансформаторов, магнитных усилителей, роторов и статоров электрических машин;","Сплав с магнитным насыщением не менее 2,35 Т, с высокой точкой Кюри 950°С и высокой магнитострикцией.",,,до 0.03,до 0.3,до 0.15,,до 0.3,,,47.2 - 50.3,,,,1.7 - 2,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,48 - 50,,,до 0.01,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,690,49КФ,49КФ,"Для сердечников и полюсных наконечников, магнитов и соленоидов;","Сплав с магнитным насыщением не менее 2,35 Т, с высокой точкой Кюри 950 °С и высокой магнитострикцией.",,,до 0.05,до 0.5,до 0.3,,до 0.3,,,47.01 - 50.7,,,,1.3 - 1.8,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,48 - 50,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,676,50Н,50Н ( другое обозначение 50НП ),"Для сердечников междуламповых и малогабаритных силовых трансформаторов, дросселей, реле и деталей магнитных цепей, работающих при повышенных индукциях без подмагничивания или с небольшим подмагничиванием;",сплав обладает повышенной магнитной проницаемостью и повышенной индукцией технического насыщения,до 0.2,,до 0.03,49 - 50.5,0.15 - 0.3,,0.3 - 0.6,,,48.33 - 50.55,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,980,50НХС,50НХС,"Для сердечников импульсных трансформаторов и аппаратуры связи звуковых и высоких частот, работающих без подмагничивания или с небольшим подмагничиванием, для сердечников магнитных головок.","Сплав с повышенной магнитной проницаемостью и высоким удельным электросопротивлением при индукции не менее 1,0 Т.",до 0.2,,до 0.03,49.5 - 51,1.1 - 1.4,3.8 - 4.2,0.6 - 1.1,,,42.03 - 45,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,677,50ХНС,50ХНС,"для сердечников импульсных трансформаторов и аппаратуры связи звуковых и высоких частот, работающих без подмагничивания или с небольшим подмагничиванием; для сердечников магнитных головок",,до 0.2,,до 0.03,49.5 - 51,1.1 - 1.4,3.8 - 4.2,0.6 - 1.1,,,42.03 - 45,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,679,68НМ,68НМ ( другое обозначение 68НМП ),"Для изготовления сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок, импульсных и широкополосных трансформаторов.","Сплав с высокими значениями проницаемости и приращений индукции при однополярном импульсном намагничивании, обладающий магнитной текстурой.",,,до 0.03,67 - 69,до 0.3,,0.4 - 0.8,,,27.33 - 31.1,,1.5 - 2.5,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,678,64Н,64Н ( другое обозначение 65Н ),"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов;","Сплав обладает анизотропией магнитных свойств, низкой остаточной магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей",,,0.01 - 0.03,63 - 65,0.15 - 0.3,,0.3 - 0.6,,,34.03 - 36.54,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,681,77НМД,77НМД ( другое обозначение 77НМДП ),"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле","Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т. Сплав 77НМДН с высокой прямоугольностью петли гистерезиса и низким коэффициентом перемагничивания",4.8 - 6,,до 0.03,75.5 - 78,0.1 - 0.3,,до 1.4,,,9.74 - 15.7,,3.9 - 4.5,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,680,76НХД,76НХД,"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле","Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т.",4.8 - 5.2,,до 0.03,75 - 76.5,0.15 - 0.3,1.8 - 2.2,0.3 - 0.6,,,15.13 - 17.95,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,985,25КФ14Н,25КФ14Н,для активной части гистерезисных двигателей,,,,до 0.06,13.5 - 14.5,до 0.3,,до 0.4,,,54.7 - 58.5,,,,3.5 - 4.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,24.5 - 25.5,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,683,79Н3М,79Н3М,"Для сердечников импульсных и широкополосных трансформаторов; Сплав с высокими значениями проницаемости и приращений индукции при однополярном импульсном намагничивании, обладающий магнитной текстурой.",С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.,,,до 0.03,78.5 - 80,0.15 - 0.3,,0.3 - 0.6,,,15.63 - 18.05,,3 - 3.4,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,682,79НМ,79НМ ( другое обозначение 79НМП ),"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле","Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т. Сплав 79НМП с высокой прямоугольностью петли гистерезиса и низким коэффициентом перемагничивания",до 0.2,до 0.15,до 0.03,78.5 - 80,0.3 - 0.5,,0.6 - 1.1,,до 0.15,13.73 - 16.8,,3.8 - 4.1,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,982,80Н2М,80Н2М,для сердечников накопительных трансформаторов; сплав с прямоугольной петлей гистерезиса,,,,до 0.03,79.6 - 81.2,0.15 - 0.3,,0.8 - 1.2,,,14.43 - 16.95,,2.5 - 2.8,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,684,80НХС,80НХС,"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле, для сердечников магнитных головок.","Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т.",до 0.2,до 0.15,до 0.03,79 - 81.5,1.1 - 1.5,2.6 - 3,0.6 - 1.1,,до 0.15,12.33 - 16.7,,,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,687,81НМА,81НМА,"Для сердечников магнитных головок, малогабаритных трансформаторов, дросселей, реле, дефектоскопов, магнитных экранов, феррозондов для применения в радиоэлектронной аппаратуре высокой чувствительности.",Сплав с наивысшим значением магнитной проницаемости в слабых постоянных и переменных магнитных полях с пониженной чувствительностью к механическим воздействиям и повышенной прочностью. В зависимости от окончательной термообработки σВ может быть от 640 Н/мм2 (65 кгс/мм2) до 1270 Н/мм2 (130 кгс/мм2).,,,до 0.01,80.5 - 81.7,до 0.1,,до 0.35,,2.5 - 3.3,9.32 - 12.3,,4.7 - 5.2,,,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.01,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,686,83НФ,83НФ,"Для сердечников малогабаритных трансформаторов и дросселей, работающих в слабых полях; ; для магнитных экранов.",Сплав обладает наивысшей начальной проницаемостью в постоянных и переменных полях,,,до 0.01,82.5 - 84.2,0.5 - 1,до 0.5,до 0.5,,,9.57 - 13.2,,,,3.8 - 4.2,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.01,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,983,83НФ-Ш,83НФ-Ш,"для сердечников малогабаритных трансформаторов и дросселей, работающих в слабых полях; сплав обладает наивысшей магнитной проницаемостью в слабых полях",,,,до 0.02,82.5 - 84.2,0.5 - 1,до 0.5,до 0.5,,,9.54 - 13.2,,,,3.8 - 4.2,Сплав прецизионный магнитно-мягкий,Сплав прецизионный магнитно-мягкий,,,,,,,,,до 0.03,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,984,35КФ10Н,35КФ10Н,для активной части гистерезисных двигателей,,,,до 0.06,9.5 - 10.5,до 0.3,,до 0.4,,,48.4 - 52.7,,,,3.5 - 4.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34.3 - 35.8,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,697,35КХ4Ф,35КХ4Ф,для активной части гистерезисных двигателей,,,,до 0.06,,до 0.3,7.5 - 8.5,до 0.4,,,50.4 - 54.7,,,,3.5 - 4.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34.3 - 35.8,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,698,35КХ6Ф,35КХ6Ф,для активной части гистерезисных двигателей,,,,до 0.08,,до 0.3,7.5 - 8.5,до 0.4,,,48.38 - 52.7,,,,5.5 - 6.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34.3 - 35.8,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,699,35КХ8Ф,35КХ8Ф,для активной части гистерезисных двигателей,,,,до 0.09,,до 0.3,7.5 - 8.5,до 0.4,,,46.37 - 50.7,,,,7.5 - 8.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34.3 - 35.8,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,694,52К11Ф,52К11Ф,для малогабаритных постоянных магнитов,,,,до 0.12,до 0.7,до 0.5,до 0.5,до 0.5,,,32.135 - 38,,,,10 - 11.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,52 - 54,,,до 0.025,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,693,52К10Ф,52К10Ф,для малогабаритных постоянных магнитов,,,,до 0.12,до 0.7,до 0.5,до 0.5,до 0.5,,,32.435 - 38.2,,,,9.8 - 11.2,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,52 - 54,,,до 0.025,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,696,52К13Ф,52К13Ф,для малогабаритных постоянных магнитов,,,,до 0.12,до 0.7,до 0.5,до 0.5,до 0.5,,,30.135 - 35.4,,,,12.6 - 13.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,52 - 54,,,до 0.025,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,695,52К12Ф,52К12Ф,для малогабаритных постоянных магнитов,,,,до 0.12,до 0.7,до 0.5,до 0.5,до 0.5,,,31.135 - 36.4,,,,11.6 - 12.5,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,52 - 54,,,до 0.025,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,701,ЕВ6,ЕВ6,для магнитов неответственного назначения,,,,0.68 - 0.78,до 0.3,0.17 - 0.4,0.3 - 0.5,0.2 - 0.4,,,,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,5.2 - 6.2,,,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,700,ЕХ3,ЕХ3,для магнитов неответственного назначения,,,,0.9 - 1.1,до 0.3,0.17 - 0.4,2.8 - 3.6,0.2 - 0.4,,,,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,703,ЕХ9К15М2,ЕХ9К15М2,для магнитов неответственного назначения,,,,0.9 - 1.05,до 0.6,0.17 - 0.4,8 - 10,0.2 - 0.4,,,,,1.2 - 1.7,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,13.5 - 16.5,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,702,ЕХ5К5,ЕХ5К5,для магнитов неответственного назначения,,,,0.9 - 1.05,до 0.6,0.17 - 0.4,5.5 - 6.5,0.2 - 0.4,,,,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,5.5 - 6.5,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1877,ЮНДК,ЮНДК,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется,2 - 3.5,7.5 - 8.7,,12.5 - 15.5,до 1.5,,,,0.15 - 0.5,45.3 - 54.35,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,23.5 - 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1878,ЮНДКБА,ЮНДКБА,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется,3 - 4.5,7.5 - 8.7,,12.5 - 15,до 0.6,,,,до 0.3,44.75 - 53,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,24 - 26,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1879,ЮНДКТ5,ЮНДКТ5,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется,3 - 4,6.5 - 8.2,,14 - 16.5,,,,,4.5 - 5.5,29.2 - 38,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34 - 35.5,,до 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1876,ЮНДКИ,ЮНДКИ,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия отсутствует,3 - 4,8.5 - 10,,18 - 20,,,,,,47 - 55.5,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,15 - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1881,ЮНДКТ5АА,ЮНДКТ5АА,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется,2.5 - 4.6,7 - 7.5,,13.5 - 14.5,,,,,5 - 5.5,32.4 - 37.5,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34.5 - 35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1880,ЮНДКТ5БА,ЮНДКТ5БА,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется,3 - 4,6.5 - 7.5,,13.5 - 14.5,,,,,4 - 5.5,31.8 - 38.5,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,34.5 - 35.5,,до 1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1882,ЮНДКТ8,ЮНДКТ8,Для изготовления постоянных магнитов,Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется,3 - 4,7 - 8.5,,13.5 - 14.5,,,,,7 - 9,22 - 31.5,,,,,Сплав прецизионный магнитно-твердый,Сплав прецизионный магнитно-твердый,,,,,,38 - 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
