"id";"name";"type";"Марка :";"Классификация :";"Дополнение:";"Применение:";"Зарубежные аналоги:";"Заменитель:";
"673";"40НКМ";"Сплав прецизионный магнитно-мягкий";"40НКМ       (    другое обозначение         40НКМП     )";"Сплав прецизионный магнитно-мягкий";"С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.";"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов; Сплав обладает анизотропией магнитных свойств, низкой остаточной  магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей";"Нет данных"
"674";"45Н";"Сплав прецизионный магнитно-мягкий";"45Н";"Сплав прецизионный магнитно-мягкий";"Сплав обладает повышенной магнитной проницаемостью и повышенной индукцией технического насыщения";"Для сердечников междуламповых и малогабаритных силовых трансформаторов, дросселей, реле и деталей магнитных цепей, работающих при повышенных индукциях без подмагничивания или с небольшим подмагничиванием;";"Нет данных"
"675";"47НК";"Сплав прецизионный магнитно-мягкий";"47НК";"Сплав прецизионный магнитно-мягкий";"Сплав обладает анизотропией магнитных свойств, низкой остаточной  магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей";"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов;";"Нет данных"
"689";"49К2Ф";"Сплав прецизионный магнитно-мягкий";"49К2Ф";"Сплав прецизионный магнитно-мягкий";"Сплав с высоким магнитным насыщением, высокой и постоянной проницаемостью, высокой магнитострикцией и высокой точкой Кюри.";"Для пакетов ультразвуковых преобразователей телефонных мембран;";"Нет данных"
"691";"49К2ФА";"Сплав прецизионный магнитно-мягкий";"49К2ФА";"Сплав прецизионный магнитно-мягкий";"Сплав с магнитным насыщением не менее 2,35 Т, с высокой точкой Кюри 950°С и высокой магнитострикцией.";"Для трансформаторов, магнитных усилителей, роторов и статоров электрических машин;";"Нет данных"
"690";"49КФ";"Сплав прецизионный магнитно-мягкий";"49КФ";"Сплав прецизионный магнитно-мягкий";"Сплав с магнитным насыщением не менее 2,35 Т, с высокой точкой Кюри 950 °С и высокой магнитострикцией.";"Для сердечников и полюсных наконечников, магнитов и соленоидов;";"Нет данных"
"676";"50Н";"Сплав прецизионный магнитно-мягкий";"50Н       (    другое обозначение         50НП     )";"Сплав прецизионный магнитно-мягкий";"сплав обладает повышенной магнитной проницаемостью и повышенной индукцией технического насыщения";"Для сердечников междуламповых и малогабаритных силовых трансформаторов, дросселей, реле и деталей магнитных цепей, работающих при повышенных индукциях без подмагничивания или с небольшим подмагничиванием;";"Нет данных"
"980";"50НХС";"Сплав прецизионный магнитно-мягкий";"50НХС";"Сплав прецизионный магнитно-мягкий";"Сплав с повышенной магнитной проницаемостью и высоким удельным электросопротивлением при индукции не менее 1,0 Т.";"Для сердечников импульсных трансформаторов и аппаратуры связи звуковых и высоких частот, работающих без подмагничивания или с небольшим подмагничиванием, для сердечников магнитных головок.";"Нет данных"
"677";"50ХНС";"Сплав прецизионный магнитно-мягкий";"50ХНС";"Сплав прецизионный магнитно-мягкий";;"для сердечников импульсных трансформаторов и аппаратуры связи звуковых и высоких частот, работающих без подмагничивания или с небольшим подмагничиванием; для сердечников магнитных головок";"Нет данных"
"679";"68НМ";"Сплав прецизионный магнитно-мягкий";"68НМ       (    другое обозначение         68НМП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с высокими значениями проницаемости и приращений индукции при однополярном импульсном намагничивании, обладающий магнитной текстурой.";"Для изготовления сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок, импульсных и широкополосных трансформаторов.";"Нет данных"
"678";"64Н";"Сплав прецизионный магнитно-мягкий";"64Н       (    другое обозначение         65Н     )";"Сплав прецизионный магнитно-мягкий";"Сплав обладает анизотропией магнитных свойств, низкой остаточной  магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей";"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов;";"Нет данных"
"681";"77НМД";"Сплав прецизионный магнитно-мягкий";"77НМД       (    другое обозначение         77НМДП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т. Сплав 77НМДН с высокой прямоугольностью петли гистерезиса и низким коэффициентом перемагничивания";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле";"Нет данных"
"680";"76НХД";"Сплав прецизионный магнитно-мягкий";"76НХД";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т.";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле";"Нет данных"
"985";"25КФ14Н";"Сплав прецизионный магнитно-твердый";"25КФ14Н";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"683";"79Н3М";"Сплав прецизионный магнитно-мягкий";"79Н3М";"Сплав прецизионный магнитно-мягкий";"С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.";"Для сердечников импульсных и широкополосных трансформаторов; Сплав с высокими значениями проницаемости и приращений индукции при однополярном импульсном намагничивании, обладающий магнитной текстурой.";"Нет данных"
"682";"79НМ";"Сплав прецизионный магнитно-мягкий";"79НМ       (    другое обозначение         79НМП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т. Сплав 79НМП с высокой прямоугольностью петли гистерезиса и низким коэффициентом перемагничивания";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле";"Нет данных"
"982";"80Н2М";"Сплав прецизионный магнитно-мягкий";"80Н2М";"Сплав прецизионный магнитно-мягкий";;"для сердечников накопительных трансформаторов; сплав с прямоугольной петлей гистерезиса";"Нет данных"
"684";"80НХС";"Сплав прецизионный магнитно-мягкий";"80НХС";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т.";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле, для сердечников магнитных головок.";"Нет данных"
"687";"81НМА";"Сплав прецизионный магнитно-мягкий";"81НМА";"Сплав прецизионный магнитно-мягкий";"Сплав с наивысшим значением магнитной проницаемости в слабых постоянных и переменных магнитных полях с пониженной чувствительностью к механическим воздействиям и повышенной прочностью. В зависимости от окончательной термообработки σВ может быть от 640 Н/мм2 (65 кгс/мм2) до 1270 Н/мм2 (130 кгс/мм2).";"Для  сердечников магнитных головок, малогабаритных трансформаторов, дросселей, реле, дефектоскопов, магнитных экранов, феррозондов для применения в радиоэлектронной аппаратуре высокой чувствительности.";"Нет данных"
"686";"83НФ";"Сплав прецизионный магнитно-мягкий";"83НФ";"Сплав прецизионный магнитно-мягкий";"Сплав обладает наивысшей начальной  проницаемостью в постоянных и переменных полях";"Для сердечников малогабаритных трансформаторов и дросселей, работающих в слабых полях; ; для магнитных экранов.";"Нет данных"
"983";"83НФ-Ш";"Сплав прецизионный магнитно-мягкий";"83НФ-Ш";"Сплав прецизионный магнитно-мягкий";;"для сердечников малогабаритных трансформаторов и дросселей, работающих в слабых полях; сплав обладает наивысшей магнитной проницаемостью в слабых полях";"Нет данных"
"984";"35КФ10Н";"Сплав прецизионный магнитно-твердый";"35КФ10Н";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"697";"35КХ4Ф";"Сплав прецизионный магнитно-твердый";"35КХ4Ф";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"698";"35КХ6Ф";"Сплав прецизионный магнитно-твердый";"35КХ6Ф";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"699";"35КХ8Ф";"Сплав прецизионный магнитно-твердый";"35КХ8Ф";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"694";"52К11Ф";"Сплав прецизионный магнитно-твердый";"52К11Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"693";"52К10Ф";"Сплав прецизионный магнитно-твердый";"52К10Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"696";"52К13Ф";"Сплав прецизионный магнитно-твердый";"52К13Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"695";"52К12Ф";"Сплав прецизионный магнитно-твердый";"52К12Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"701";"ЕВ6";"Сплав прецизионный магнитно-твердый";"ЕВ6";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
"700";"ЕХ3";"Сплав прецизионный магнитно-твердый";"ЕХ3";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
"703";"ЕХ9К15М2";"Сплав прецизионный магнитно-твердый";"ЕХ9К15М2";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
"702";"ЕХ5К5";"Сплав прецизионный магнитно-твердый";"ЕХ5К5";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
"1877";"ЮНДК";"Сплав прецизионный магнитно-твердый";"ЮНДК";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется";"Для изготовления постоянных магнитов";"Нет данных"
"1878";"ЮНДКБА";"Сплав прецизионный магнитно-твердый";"ЮНДКБА";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется";"Для изготовления постоянных магнитов";"Нет данных"
"1879";"ЮНДКТ5";"Сплав прецизионный магнитно-твердый";"ЮНДКТ5";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется";"Для изготовления постоянных магнитов";"Нет данных"
"1876";"ЮНДКИ";"Сплав прецизионный магнитно-твердый";"ЮНДКИ";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия отсутствует";"Для изготовления постоянных магнитов";"Нет данных"
"1881";"ЮНДКТ5АА";"Сплав прецизионный магнитно-твердый";"ЮНДКТ5АА";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется";"Для изготовления постоянных магнитов";"Нет данных"
"1880";"ЮНДКТ5БА";"Сплав прецизионный магнитно-твердый";"ЮНДКТ5БА";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется";"Для изготовления постоянных магнитов";"Нет данных"
"1882";"ЮНДКТ8";"Сплав прецизионный магнитно-твердый";"ЮНДКТ8";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия имеется";"Для изготовления постоянных магнитов";"Нет данных"
"1874";"ЮНДЧ";"Сплав прецизионный магнитно-твердый";"ЮНДЧ";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия отсутствует";"Для изготовления постоянных магнитов";"Нет данных"
"1875";"ЮНТС";"Сплав прецизионный магнитно-твердый";"ЮНТС";"Сплав прецизионный магнитно-твердый";"Литой магнитотвердый сплав на железо-никель-алюминиевой основе. Магнитная анизотропия отсутствует";"Для изготовления постоянных магнитов";"Нет данных"
"704";"29НК";"Сплав прецизионный с заданным ТКЛР";"29НК       (    другое обозначение         29НК-ВИ       29НК-ВИ-1       29НК-1     )";"Сплав прецизионный с заданным ТКЛР";;"для вакуумных спаев элементов радиоэлектронной аппаратуры со стеклами С49-1, С52-1, С48-1, С47-1; ТКЛР*1000000  в диапазоне температур  от -70 до +420  &ordm;C не более 4.5-6.5  [1/&ordm;C]";"Нет данных"
"705";"30НКД";"Сплав прецизионный с заданным ТКЛР";"30НКД       (    другое обозначение         30НКД-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"для вакуумных спаев со стеклами С38-1, С40-1; ТКЛР*1000000  в диапазоне температур  от -60 до +400  &ordm;C не более 3.3-4.6  [1/&ordm;C]";"Нет данных"
"707";"32НК-ВИ";"Сплав прецизионный с заданным ТКЛР";"32НК-ВИ";"Сплав прецизионный с заданным ТКЛР";;"для соединения с мягким стеклом; для деталей с полированной поверхностью;  ТКЛР*1000000  в диапазоне температур  от -60 до +20 и от +20 до +100   &ordm;C не более 1.5  [1/&ordm;C]";"Нет данных"
"706";"32НКД";"Сплав прецизионный с заданным ТКЛР";"32НКД";"Сплав прецизионный с заданным ТКЛР";;"для деталей приборов очень высокой точности, требующих постоянства размеров в интервале климатических температур; ТКЛР*1000000  в диапазоне температур  от -60 до +100  &ordm;C не более 1.0  [1/&ordm;C]";"Нет данных"
"708";"33НК";"Сплав прецизионный с заданным ТКЛР";"33НК       (    другое обозначение         33НК-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"для спайки с мягким стеклом С72-4, для соединения с керамикой и слюдой; ТКЛР*1000000  в диапазоне температур  от -70 до +450  &ordm;C не более 6 - 9  [1/&ordm;C]";"Нет данных"
"986";"34НК";"Сплав прецизионный с заданным ТКЛР";"34НК";"Сплав прецизионный с заданным ТКЛР";;"для спайки с мягким стеклом С84-2, для соединения с керамикой ; ТКЛР*1000000 в диапазоне температур от +20 до +500 &ordm;C не более 5.2 - 7 [1/&ordm;C]";"Нет данных"
"710";"36Н";"Сплав прецизионный с заданным ТКЛР";"36Н       (    другое обозначение         36Н-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"для деталей приборов, требующих постоянства размеров в интервале климатических температур; ТКЛР*1000000  в диапазоне температур  от -60 до +100  &ordm;C не более 1.5 [1/&ordm;C]";"Известны"
"709";"35НКТ";"Сплав прецизионный с заданным ТКЛР";"35НКТ";"Сплав прецизионный с заданным ТКЛР";;"для деталей приборов, работающих при повышенных нагрузках; ТКЛР*1000000  в диапазоне температур  от +20 до +60  и -60 до +20  &ordm;C не более 3.5  [1/&ordm;C]";"Нет данных"
"712";"38НКД";"Сплав прецизионный с заданным ТКЛР";"38НКД       (    другое обозначение         38НКД-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"для вакуумных спаев со стеклами П-6, С72-4; ТКЛР*1000000  в диапазоне температур  от -60 до +400  &ordm;C не более 7.0-7.8  [1/&ordm;C]";"Нет данных"
"713";"39Н";"Сплав прецизионный с заданным ТКЛР";"39Н";"Сплав прецизионный с заданным ТКЛР";;"для конструкций и трубопроводов, работающих при   низких температурах; ТКЛР*1000000  в диапазоне температур  от -258 до +20  &ordm;C не более 4  [1/&ordm;C]";"Нет данных"
"714";"42Н";"Сплав прецизионный с заданным ТКЛР";"42Н       (    другое обозначение         42Н-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"в электровакуумной технике; ТКЛР*1000000  в диапазоне температур  от -70 до +340 &ordm;C не более 4.5-5.5  [1/&ordm;C]";"Нет данных"
"715";"42НА-ВИ";"Сплав прецизионный с заданным ТКЛР";"42НА-ВИ";"Сплав прецизионный с заданным ТКЛР";;"в электровакуумной технике; ТКЛР*1000000 в диапазоне температур от -70 до +340 &ordm;C не более 4.5-5.5 [1/&ordm;C]";"Нет данных"
"711";"36НХ";"Сплав прецизионный с заданным ТКЛР";"36НХ";"Сплав прецизионный с заданным ТКЛР";;"для конструкций и трубопроводов, работающих при   низких температурах; ТКЛР*1000000  в диапазоне температур  от -258 до +20 и от +20 до +100   &ordm;C не более 1.0-2.0  [1/&ordm;C]";"Нет данных"
"718";"47НД";"Сплав прецизионный с заданным ТКЛР";"47НД       (    другое обозначение         47НД-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"для спайки с мягким стеклом , для соединения с керамикой и слюдой, для пружин герметических контактов ; ТКЛР*1000000  в диапазоне температур  от -70 до +440  &ordm;C не более 9-11  [1/&ordm;C]";"Нет данных"
"717";"47Н3Х";"Сплав прецизионный с заданным ТКЛР";"47Н3Х";"Сплав прецизионный с заданным ТКЛР";;"для вакуумных спаев со стеклами ЛЕНЗОС и т.д.; ТКЛР*1000000  в диапазоне температур  от -70 до +400  &ordm;C не более 9.5-10.5  [1/&ordm;C]";"Нет данных"
"716";"47НХ";"Сплав прецизионный с заданным ТКЛР";"47НХ";"Сплав прецизионный с заданным ТКЛР";;"для вакуумных спаев со стеклами 16Ш, С72-4; ТКЛР*1000000  в диапазоне температур  от -70 до +450  &ordm;C не более 8 - 9  [1/&ordm;C]";"Нет данных"
"719";"47НХР";"Сплав прецизионный с заданным ТКЛР";"47НХР";"Сплав прецизионный с заданным ТКЛР";;"для спайки с мягким стеклом; ТКЛР*1000000  в диапазоне температур  от -70 до +330  &ordm;C не более 8.5-11  [1/&ordm;C]";"Нет данных"
"721";"52Н";"Сплав прецизионный с заданным ТКЛР";"52Н       (    другое обозначение         52Н-ВИ     )";"Сплав прецизионный с заданным ТКЛР";;"для соединения с мягким стеклом; ТКЛР*1000000  в диапазоне температур  от -70 до +550  &ordm;C не более 11-11.4  [1/&ordm;C]; сплав с высокой проницаемостью и индукцией насыщения 1.5 Т";"Нет данных"
"720";"48НХ";"Сплав прецизионный с заданным ТКЛР";"48НХ";"Сплав прецизионный с заданным ТКЛР";;"для вакуумных спаев со стеклами 16Ш, С72-4; ТКЛР*1000000  в диапазоне температур  от -70 до +450  &ordm;C не более 8.5 - 9.5  [1/&ordm;C]";"Нет данных"
"722";"58Н-ВИ";"Сплав прецизионный с заданным ТКЛР";"58Н-ВИ";"Сплав прецизионный с заданным ТКЛР";;"для штриховых мер длины; ТКЛР*1000000  в диапазоне температур  от +20 до +100  &ordm;C не более 11.2-11.8  [1/&ordm;C]";"Нет данных"
"780";"19НХ";"Сплав прецизионный, составляющие термобиметаллов";"19НХ";"Сплав прецизионный, составляющие термобиметаллов";;"сплав - составляющая термобиметаллов";"Нет данных"
"782";"24НХ";"Сплав прецизионный, составляющие термобиметаллов";"24НХ";"Сплав прецизионный, составляющие термобиметаллов";;"составляющая термобиметаллов";"Нет данных"
"781";"20НГ";"Сплав прецизионный, составляющие термобиметаллов";"20НГ";"Сплав прецизионный, составляющие термобиметаллов";;"составляющая термобиметаллов";"Нет данных"
"784";"46Н";"Сплав прецизионный, составляющие термобиметаллов";"46Н";"Сплав прецизионный, составляющие термобиметаллов";;"составляющая термобиметаллов";"Нет данных"
"783";"45НХ";"Сплав прецизионный, составляющие термобиметаллов";"45НХ";"Сплав прецизионный, составляющие термобиметаллов";;"составляющая термобиметаллов";"Нет данных"
"2396";"46НХ";"Сплав прецизионный, составляющие термобиметаллов";"46НХ";"Сплав прецизионный, составляющие термобиметаллов";;"Составляющая термобиметаллов";"Нет данных"
"785";"75ГНД";"Сплав прецизионный, составляющие термобиметаллов";"75ГНД";"Сплав прецизионный, составляющие термобиметаллов";;"составляющая термобиметаллов";"Нет данных"
"764";"17ХНГТ";"Сплав прецизионный с заданными свойствами упругости";"17ХНГТ";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов и пружинных деталей общего и специального назначения, работающих до 250 град.С";"Нет данных"
"723";"36НХТЮ";"Сплав прецизионный с заданными свойствами упругости";"36НХТЮ";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре до 250 град.С";"Нет данных"
"725";"36НХТЮ8М";"Сплав прецизионный с заданными свойствами упругости";"36НХТЮ8М";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре до 400 град.С";"Нет данных"
"724";"36НХТЮ5М";"Сплав прецизионный с заданными свойствами упругости";"36НХТЮ5М";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре до 350 град.С";"Нет данных"
"765";"40КХНМ";"Сплав прецизионный с заданными свойствами упругости";"40КХНМ";"Сплав прецизионный с заданными свойствами упругости";;"для пружин часовых механизмов, витых цилиндрических пружин, работающих при температуре до 400 град.С, для кернов электроизмерительных приборов, для деталей в хирургии";"Нет данных"
"766";"40КНХМВТЮ";"Сплав прецизионный с заданными свойствами упругости";"40КНХМВТЮ";"Сплав прецизионный с заданными свойствами упругости";;"для заводных пружин наручных часов";"Нет данных"
"727";"42НХТЮА";"Сплав прецизионный с заданными свойствами упругости";"42НХТЮА";"Сплав прецизионный с заданными свойствами упругости";;"для волосковых спиралей часовых механизмов";"Нет данных"
"726";"42НХТЮ";"Сплав прецизионный с заданными свойствами упругости";"42НХТЮ";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре до 100 град.С";"Нет данных"
"987";"43НКТЮ";"Сплав прецизионный с заданными свойствами упругости";"43НКТЮ";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре до 300 град.С";"Нет данных"
"728";"44НХТЮ";"Сплав прецизионный с заданными свойствами упругости";"44НХТЮ";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре до 200 град.С";"Нет данных"
"729";"68НХВКТЮ";"Сплав прецизионный с заданными свойствами упругости";"68НХВКТЮ       (    другое обозначение         68НХВКТЮ-ВИ     )";"Сплав прецизионный с заданными свойствами упругости";;"для упругих чувствительных элементов, работающих при температуре от -196 до 500 град.С";"Нет данных"
